2012-11-20 16:15:44  WARN | mismatch in sensor data being merged into in-memory cache, clearing history for i-81BB424D:DiskWriteBytes:summation:vdg
2012-11-20 16:15:44  WARN | mismatch in sensor data being merged into in-memory cache, clearing history for i-81BB424D:VolumeTotalReadTime:summation:vdg
2012-11-20 16:15:44  WARN | mismatch in sensor data being merged into in-memory cache, clearing history for i-81BB424D:VolumeTotalWriteTime:summation:vdg
2012-11-20 16:18:15  WARN | mismatch in sensor data being merged into in-memory cache, clearing history for i-81BB424D:DiskReadOps:summation:vdf
2012-11-20 16:18:15  WARN | mismatch in sensor data being merged into in-memory cache, clearing history for i-81BB424D:DiskWriteOps:summation:vdf
2012-11-20 16:18:15  WARN | mismatch in sensor data being merged into in-memory cache, clearing history for i-81BB424D:DiskReadBytes:summation:vdf
2012-11-20 16:18:15  WARN | mismatch in sensor data being merged into in-memory cache, clearing history for i-81BB424D:DiskWriteBytes:summation:vdf
2012-11-20 16:18:15  WARN | mismatch in sensor data being merged into in-memory cache, clearing history for i-81BB424D:VolumeTotalReadTime:summation:vdf
2012-11-20 16:18:15  WARN | mismatch in sensor data being merged into in-memory cache, clearing history for i-81BB424D:VolumeTotalWriteTime:summation:vdf
2012-11-20 16:19:31  WARN | mismatch in sensor data being merged into in-memory cache, clearing history for i-81BB424D:DiskReadOps:summation:vdg
2012-11-20 16:19:31  WARN | mismatch in sensor data being merged into in-memory cache, clearing history for i-81BB424D:DiskWriteOps:summation:vdg
2012-11-20 16:19:31  WARN | mismatch in sensor data being merged into in-memory cache, clearing history for i-81BB424D:DiskReadBytes:summation:vdg
2012-11-20 16:19:31  WARN | mismatch in sensor data being merged into in-memory cache, clearing history for i-81BB424D:DiskWriteBytes:summation:vdg
2012-11-20 16:19:31  WARN | mismatch in sensor data being merged into in-memory cache, clearing history for i-81BB424D:VolumeTotalReadTime:summation:vdg
2012-11-20 16:19:31  WARN | mismatch in sensor data being merged into in-memory cache, clearing history for i-81BB424D:VolumeTotalWriteTime:summation:vdg
2012-11-20 16:22:03  WARN | mismatch in sensor data being merged into in-memory cache, clearing history for i-81BB424D:DiskReadOps:summation:vdf
2012-11-20 16:22:03  WARN | mismatch in sensor data being merged into in-memory cache, clearing history for i-81BB424D:DiskWriteOps:summation:vdf
2012-11-20 16:22:03  WARN | mismatch in sensor data being merged into in-memory cache, clearing history for i-81BB424D:DiskReadBytes:summation:vdf
2012-11-20 16:22:03  WARN | mismatch in sensor data being merged into in-memory cache, clearing history for i-81BB424D:DiskWriteBytes:summation:vdf
2012-11-20 16:22:03  WARN | mismatch in sensor data being merged into in-memory cache, clearing history for i-81BB424D:VolumeTotalReadTime:summation:vdf
2012-11-20 16:22:03  WARN | mismatch in sensor data being merged into in-memory cache, clearing history for i-81BB424D:VolumeTotalWriteTime:summation:vdf
2012-11-20 16:23:20  WARN | mismatch in sensor data being merged into in-memory cache, clearing history for i-81BB424D:DiskReadOps:summation:vdg
2012-11-20 16:23:20  WARN | mismatch in sensor data being merged into in-memory cache, clearing history for i-81BB424D:DiskWriteOps:summation:vdg
2012-11-20 16:23:20  WARN | mismatch in sensor data being merged into in-memory cache, clearing history for i-81BB424D:DiskReadBytes:summation:vdg
2012-11-20 16:23:20  WARN | mismatch in sensor data being merged into in-memory cache, clearing history for i-81BB424D:DiskWriteBytes:summation:vdg
