cloud-output.log.4:Fri Oct 5 00:09:12 2012  INFO Broker                  | disabling VMware Broker
cloud-output.log.4:Fri Oct 5 00:10:11 2012  INFO Broker                  | enabling VMware Broker
cloud-output.log.4:Fri Oct 5 00:10:11 2012  INFO Broker                  | disabling VMware Broker
cloud-output.log.4:Fri Oct 5 00:10:40 2012  INFO Broker                  | enabling VMware Broker
cloud-output.log.4:Fri Oct 5 00:10:40 2012  INFO Broker                  | disabling VMware Broker
cloud-output.log.4:Fri Oct 5 00:12:07 2012  INFO Broker                  | enabling VMware Broker
cloud-output.log.4:Fri Oct 5 00:12:07 2012  INFO Broker                  | disabling VMware Broker
cloud-output.log.4:Fri Oct 5 00:13:09 2012  INFO Broker                  | enabling VMware Broker
cloud-output.log.4:Fri Oct 5 00:13:09 2012  INFO Broker                  | disabling VMware Broker
cloud-output.log.4:Fri Oct 5 00:14:00 2012  INFO Broker                  | enabling VMware Broker
cloud-output.log.4:Fri Oct 5 00:14:00 2012  INFO Broker                  | disabling VMware Broker
cloud-output.log.4:Fri Oct 5 00:15:00 2012  INFO Broker                  | enabling VMware Broker
cloud-output.log.4:Fri Oct 5 00:15:00 2012  INFO Broker                  | disabling VMware Broker
cloud-output.log.4:Fri Oct 5 00:15:42 2012  INFO Broker                  | enabling VMware Broker
cloud-output.log.4:Fri Oct 5 00:15:42 2012  INFO Broker                  | disabling VMware Broker
cloud-output.log.4:Fri Oct 5 00:17:06 2012  INFO Broker                  | enabling VMware Broker
cloud-output.log.4:Fri Oct 5 00:17:06 2012  INFO Broker                  | disabling VMware Broker
cloud-output.log.4:Fri Oct 5 00:18:28 2012  INFO Broker                  | enabling VMware Broker
cloud-output.log.4:Fri Oct 5 00:18:28 2012  INFO Broker                  | disabling VMware Broker
cloud-output.log.4:Fri Oct 5 00:19:19 2012  INFO Broker                  | enabling VMware Broker
cloud-output.log.4:Fri Oct 5 00:19:19 2012  INFO Broker                  | disabling VMware Broker
cloud-output.log.4:Fri Oct 5 00:20:10 2012  INFO Broker                  | enabling VMware Broker
cloud-output.log.4:Fri Oct 5 00:20:10 2012  INFO Broker                  | disabling VMware Broker
cloud-output.log.4:Fri Oct 5 00:20:48 2012  INFO Broker                  | enabling VMware Broker
cloud-output.log.4:Fri Oct 5 00:20:48 2012  INFO Broker                  | disabling VMware Broker
cloud-output.log.4:Fri Oct 5 00:22:03 2012  INFO Broker                  | enabling VMware Broker
cloud-output.log.4:Fri Oct 5 00:22:03 2012  INFO Broker                  | disabling VMware Broker
cloud-output.log.4:Fri Oct 5 00:22:52 2012  INFO Broker                  | enabling VMware Broker
cloud-output.log.4:Fri Oct 5 00:22:52 2012  INFO Broker                  | disabling VMware Broker
cloud-output.log.4:Fri Oct 5 00:23:30 2012  INFO Broker                  | enabling VMware Broker
cloud-output.log.4:Fri Oct 5 00:23:30 2012  INFO Broker                  | disabling VMware Broker
cloud-output.log.4:Fri Oct 5 00:24:32 2012  INFO Broker                  | enabling VMware Broker
cloud-output.log.4:Fri Oct 5 00:24:32 2012  INFO Broker                  | disabling VMware Broker
cloud-output.log.4:Fri Oct 5 00:25:22 2012  INFO Broker                  | enabling VMware Broker
cloud-output.log.4:Fri Oct 5 00:25:22 2012  INFO Broker                  | disabling VMware Broker
cloud-output.log.4:Fri Oct 5 00:26:14 2012  INFO Broker                  | enabling VMware Broker
cloud-output.log.4:Fri Oct 5 00:26:14 2012  INFO Broker                  | disabling VMware Broker
cloud-output.log.4:Fri Oct 5 00:27:01 2012  INFO Broker                  | enabling VMware Broker
cloud-output.log.4:Fri Oct 5 00:27:01 2012  INFO Broker                  | disabling VMware Broker
cloud-output.log.4:Fri Oct 5 00:27:41 2012  INFO Broker                  | enabling VMware Broker
