2016-02-25 02:15:25 DEBUG 000001000 DnsResolvers             | DnsResolver: AAAA loadbalancing.cdc-west-1.devlnk.net.
2016-02-25 02:15:25 DEBUG 000000978 DnsResolvers             | DnsResolver: A loadbalancing.cdc-west-1.devlnk.net.
2016-02-25 02:15:25 DEBUG 000001037 DnsResolvers             | DnsResolver: AAAA loadbalancing.cdc-west-1.devlnk.net.
2016-02-25 02:15:25 DEBUG 000000987 DnsResolvers             | DnsResolver: A loadbalancing.cdc-west-1.devlnk.net.
2016-02-25 02:15:25 DEBUG 000001006 DnsResolvers             | DnsResolver: A loadbalancing.cdc-west-1.devlnk.net.cdc-west-1.internal.
2016-02-25 02:15:25 DEBUG 000000966 DnsResolvers             | DnsResolver: AAAA loadbalancing.cdc-west-1.devlnk.net.cdc-west-1.internal.
2016-02-25 02:15:26 DEBUG 000001056 DnsResolvers             | DnsResolver: AAAA cloudformation.cdc-west-1.devlnk.net.
2016-02-25 02:15:26 DEBUG 000001067 DnsResolvers             | DnsResolver: AAAA loadbalancing.cdc-west-1.devlnk.net.
2016-02-25 02:15:26 DEBUG 000001017 DnsResolvers             | DnsResolver: A loadbalancing.cdc-west-1.devlnk.net.
2016-02-25 02:15:26 DEBUG 000001042 DnsResolvers             | DnsResolver: A loadbalancing.cdc-west-1.devlnk.net.
2016-02-25 02:15:26 DEBUG 000001046 DnsResolvers             | DnsResolver: AAAA loadbalancing.cdc-west-1.devlnk.net.
2016-02-25 02:15:26 DEBUG 000000977 DnsResolvers             | DnsResolver: A imaging.cloud.devlnk.net.cdc-west-1.internal.
2016-02-25 02:15:26 DEBUG 000000995 DnsResolvers             | DnsResolver: AAAA imaging.cloud.devlnk.net.cdc-west-1.internal.
2016-02-25 02:15:26 DEBUG 000000992 DnsResolvers             | DnsResolver: A loadbalancing.cdc-west-1.devlnk.net.
2016-02-25 02:15:26 DEBUG 000000970 DnsResolvers             | DnsResolver: AAAA loadbalancing.cdc-west-1.devlnk.net.
2016-02-25 02:15:26 DEBUG 000000994 DnsResolvers             | DnsResolver: A rhnsat.irad.net.
2016-02-25 02:15:26 DEBUG 000000975 DnsResolvers             | DnsResolver: AAAA rhnsat.irad.net.
2016-02-25 02:15:26 DEBUG 000000980 DnsResolvers             | DnsResolver: A rhnsat.irad.net.
2016-02-25 02:15:27 DEBUG 000000969 DnsResolvers             | DnsResolver: A rhnsat.irad.net.
